Messstelle:                ;Matreier Tauernhaus
HZB-Nummer:                ;212076
HD-Nummer:                 ;
DBMS-Nummer:               ;7001131
Gewässer:                  ;Tauernbach
Sachgebiet:                ;OWF
Dienststelle:              ;HD-Tirol
Messstellenbetreiber:      ;Hydrographischer Dienst
orogr.Einzugsgebiet [km²]: ;59,9
Pegelnullpunkt:
  gültig seit:             ;Höhe [m ü.A.]:
   01.07.1930              ;01503,55
   01.01.1972              ;01502,55
   01.01.1976              ;01502,29
Bundesmeldenetz(BMN)-Koordinaten:
  gültig seit:             ;Rechtswert y [m] - Hochwert x [m]:
   01.01.1930              ;386424,00 - 220238,00
Exportzeitreihe:           ;(7001131,Wasserstand,M,Max,M,1,F,Z,0,,,)
Einheit:                   ;[cm]
Exportzeitraum:            ;[01.01.1963 00:00,01.01.2019 00:00]
Werte:
20.05.2004 20:32:35;   138
11.06.2004 22:48:15;   201
09.07.2004 04:29:00;   244
07.08.2004 18:25:00;   191
15.09.2004 00:46:50;   172
27.10.2004 03:13:50;   160
01.11.2004 12:23:25;   175
01.12.2004 00:00:00;    86
01.01.2005 05:04:55;    81
01.02.2005 00:00:00;    77
20.03.2005 02:10:20;   100
30.04.2005 19:05:00;   122
31.05.2005 03:40:50;   188
25.06.2005 18:53:10;   205
11.07.2005 16:27:40;   254
23.08.2005 16:02:00;   193
17.09.2005 02:48:50;   175
04.10.2005 19:56:55;   166
07.11.2005 16:34:50;    95
01.12.2005 00:00:00;    84
01.01.2006 02:53:30;    84
01.02.2006 00:00:00;    80
27.03.2006 19:30:00;    92
28.04.2006 20:29:30;   123
19.05.2006 01:49:50;   188
29.06.2006 09:39:10;   217
28.07.2006 20:04:45;   226
07.08.2006 06:11:30;   230
08.09.2006 04:15:40;   172
03.10.2006 23:14:25;   156
01.11.2006 00:00:00;   109
01.12.2006 00:00:00;    91
19.01.2007 16:00:00;   110
01.02.2007 00:00:00;    85
18.03.2007 23:48:10;    98
29.04.2007 21:35:35;   141
23.05.2007 17:24:45;   175
22.06.2007 23:57:45;   191
09.07.2007 06:35:35;   203
29.08.2007 20:18:55;   200
18.09.2007 15:10:50;   172
06.10.2007 09:36:15;   153
24.11.2007 19:49:55;   103
01.12.2007 00:00:00;    94
28.01.2008 12:50:20;    88
26.02.2008 21:30:00;    92
06.03.2008 12:30:55;    93
28.04.2008 22:30:00;   109
29.05.2008 18:00:00;   201
30.06.2008 03:30:00;   198
06.07.2008 18:15:00;   210
08.08.2008 21:30:00;   218
10.09.2008 20:45:00;   181
30.10.2008 03:46:00;   172
05.11.2008 03:15:00;   141
02.12.2008 14:21:40;    94
01.01.2009 00:00:00;    90
01.02.2009 00:00:00;    88
01.03.2009 00:00:00;    86
14.04.2009 20:30:00;   119
24.05.2009 19:00:00;   187
20.06.2009 00:15:00;   209
18.07.2009 03:45:00;   222
04.08.2009 07:30:00;   220
04.09.2009 15:15:00;   264
10.10.2009 18:15:00;   128
01.11.2009 18:30:00;   101
01.12.2009 00:00:00;    90
01.01.2010 00:00:00;    87
01.02.2010 00:00:00;    84
24.03.2010 19:30:00;   102
30.04.2010 18:45:00;   143
26.05.2010 23:00:00;   174
13.06.2010 22:00:00;   251
18.07.2010 01:30:00;   257
15.08.2010 01:45:00;   209
17.09.2010 22:30:00;   159
05.10.2010 23:15:00;   145
16.11.2010 18:00:00;   115
01.12.2010 21:00:35;    95
14.01.2011 17:08:45;   104
01.02.2011 00:00:00;    85
31.03.2011 19:45:00;   102
08.04.2011 18:15:00;   128
27.05.2011 17:00:00;   201
18.06.2011 19:15:00;   216
13.07.2011 23:30:00;   243
27.08.2011 13:15:00;   219
18.09.2011 18:15:00;   205
10.10.2011 16:30:00;   228
06.11.2011 06:30:00;   113
01.12.2011 11:30:00;    96
01.01.2012 00:00:00;    93
29.02.2012 20:12:25;    94
28.03.2012 21:00:00;   115
29.04.2012 18:00:00;   153
24.05.2012 19:00:00;   186
09.06.2012 16:45:00;   208
20.07.2012 22:15:00;   221
26.08.2012 03:00:00;   240
27.09.2012 06:45:00;   189
01.10.2012 04:15:00;   173
05.11.2012 03:15:00;   166
01.12.2012 13:30:00;   100
01.01.2013 00:00:00;    97
01.02.2013 00:00:00;    95
01.03.2013 00:00:00;    94
30.04.2013 22:00:00;   156
03.05.2013 18:00:00;   168
21.06.2013 18:15:00;   205
09.07.2013 18:45:00;   225
19.08.2013 21:30:00;   225
09.09.2013 06:15:00;   179
24.10.2013 02:00:00;   169
03.11.2013 09:30:00;   126
02.12.2013 11:30:00;   100
01.01.2014 00:00:00;    93
01.02.2014 00:00:00;    92
21.03.2014 19:30:00;   116
26.04.2014 19:00:00;   140
23.05.2014 19:00:00;   189
11.06.2014 20:45:00;   236
31.07.2014 10:45:00;   290
13.08.2014 15:15:00;   259
05.09.2014 22:45:00;   153
13.10.2014 20:45:00;   178
06.11.2014 11:30:00;   148
19.12.2014 05:00:00;   104
10.01.2015 02:15:40;    95
01.02.2015 00:00:00;    88
21.03.2015 08:30:00;    92
27.04.2015 17:30:00;   130
20.05.2015 11:00:00;   179
06.06.2015 22:30:00;   202
20.07.2015 00:30:00;   203
04.08.2015 22:30:00;   252
02.09.2015 16:30:00;   184
07.10.2015 21:45:00;   146
10.11.2015 18:30:00;   107
02.12.2015 02:45:00;   101
01.01.2016 00:00:00;    91
01.02.2016 13:15:00;   101
31.03.2016 23:30:00;   108
13.04.2016 18:00:00;   129
29.05.2016 19:00:00;   194
17.06.2016 04:45:00;   211
13.07.2016 02:00:00;   224
05.08.2016 11:45:00;   224
06.09.2016 11:30:00;   179
14.10.2016 22:00:00;   162
17.11.2016 01:15:00;   110
01.12.2016 14:00:00;    99
01.01.2017 00:00:00;    92
01.02.2017 00:00:00;    90
31.03.2017 18:30:00;   121
10.04.2017 18:45:00;   124
31.05.2017 21:30:00;   182
24.06.2017 21:00:00;   233
11.07.2017 00:45:00;   208
06.08.2017 15:30:00;   242
01.09.2017 11:30:00;   180
03.10.2017 14:15:00;   143
05.11.2017 19:45:00;   112
01.12.2017 00:00:00;    97
01.01.2018 00:00:00;    93
01.02.2018 00:00:00;    92
01.03.2018 00:00:00;    91
30.04.2018 16:30:00;   169
30.05.2018 19:15:00;   177
21.06.2018 23:00:00;   232
06.07.2018 20:00:00;   222
06.08.2018 19:00:00;   224
24.09.2018 01:15:00;   183
29.10.2018 21:15:00;   213
01.11.2018 00:00:00;   124
01.12.2018 00:00:00;    96
01.01.2019 00:00:00;    92
