Messstelle:                ;Matreier Tauernhaus
HZB-Nummer:                ;212076
HD-Nummer:                 ;
DBMS-Nummer:               ;7001131
Gewässer:                  ;Tauernbach
Sachgebiet:                ;OWF
Dienststelle:              ;HD-Tirol
Messstellenbetreiber:      ;Hydrographischer Dienst
orogr.Einzugsgebiet [km²]: ;59,9
Pegelnullpunkt:
  gültig seit:             ;Höhe [m ü.A.]:
   01.07.1930              ;01503,55
   01.01.1972              ;01502,55
   01.01.1976              ;01502,29
Bundesmeldenetz(BMN)-Koordinaten:
  gültig seit:             ;Rechtswert y [m] - Hochwert x [m]:
   01.01.1930              ;386424,00 - 220238,00
Exportzeitreihe:           ;(7001131,Abfluss,M,Max,M,1,F,Z,0,,,)
Einheit:                   ;[m³/s]
Exportzeitraum:            ;[24.01.1951 12:00,01.01.2019 00:00]
Werte:
30.06.1968 12:00:00;  24,3
09.07.1968 12:00:00;  39,0
03.08.1968 12:00:00;  21,4
16.09.1968 12:00:00;  14,4
09.10.1968 12:00:00;  4,72
03.11.1968 12:00:00;  12,2
07.12.1968 12:00:00; 0,500
01.01.1969 12:00:00; 0,280
28.02.1969 12:00:00; 0,180
31.03.1969 12:00:00; 0,210
29.04.1969 12:00:00;  7,12
29.05.1969 12:00:00;  21,0
19.06.1969 12:00:00;  18,5
07.07.1969 12:00:00;  18,1
16.08.1969 12:00:00;  19,7
15.09.1969 12:00:00;  10,5
01.10.1969 12:00:00;  3,50
07.11.1969 12:00:00;  1,34
11.12.1969 12:00:00; 0,390
12.01.1970 12:00:00; 0,240
08.02.1970 12:00:00; 0,210
19.03.1970 12:00:00; 0,210
25.04.1970 12:00:00;  1,25
22.05.1970 12:00:00;  3,20
24.06.1970 12:00:00;  28,7
25.07.1970 12:00:00;  50,6
10.08.1970 12:00:00;  61,0
12.09.1970 12:00:00;  23,8
10.10.1970 12:00:00;  3,98
03.11.1970 12:00:00;  1,52
05.12.1970 12:00:00; 0,350
31.01.1971 12:00:00; 0,180
28.02.1971 12:00:00; 0,180
31.03.1971 12:00:00; 0,240
22.04.1971 12:00:00;  4,14
17.05.1971 12:00:00;  15,5
29.06.1971 12:00:00;  14,5
18.07.1971 12:00:00;  25,2
27.08.1971 12:00:00;  45,0
05.09.1971 12:00:00;  8,05
05.10.1971 12:00:00;  2,91
08.11.1971 12:00:00; 0,490
31.12.1971 12:00:00; 0,380
01.01.1972 12:00:00; 0,380
03.02.1972 12:00:00; 0,160
21.03.1972 12:00:00; 0,690
08.04.1972 12:00:00;  1,42
27.05.1972 12:00:00;  9,45
12.06.1972 12:00:00;  33,0
28.07.1972 12:00:00;  24,9
12.08.1972 12:00:00;  24,0
01.09.1972 12:00:00;  6,81
23.10.1972 12:00:00;  1,30
01.11.1972 12:00:00; 0,750
01.12.1972 12:00:00; 0,450
02.01.1973 12:00:00; 0,280
01.02.1973 12:00:00; 0,170
31.03.1973 12:00:00; 0,320
09.04.1973 12:00:00; 0,400
07.05.1973 12:00:00;  26,1
18.06.1973 12:00:00;  41,0
10.07.1973 12:00:00;  21,8
11.08.1973 12:00:00;  16,4
10.09.1973 12:00:00;  12,5
03.10.1973 12:00:00;  4,08
01.11.1973 12:00:00; 0,840
01.12.1973 12:00:00; 0,290
05.01.1974 12:00:00; 0,240
06.02.1974 12:00:00; 0,210
29.03.1974 12:00:00; 0,840
13.04.1974 12:00:00;  2,62
31.05.1974 12:00:00;  10,7
27.06.1974 12:00:00;  28,0
17.07.1974 12:00:00;  26,4
04.08.1974 12:00:00;  26,9
04.09.1974 12:00:00;  14,6
01.10.1974 12:00:00;  2,33
15.11.1974 12:00:00; 0,650
29.12.1974 12:00:00; 0,410
01.01.1975 12:00:00; 0,310
08.02.1975 12:00:00; 0,220
09.03.1975 12:00:00; 0,200
30.04.1975 12:00:00; 0,970
20.05.1975 12:00:00;  15,3
25.06.1975 12:00:00;  50,0
19.07.1975 12:00:00;  38,1
07.08.1975 12:00:00;  23,4
16.09.1975 12:00:00;  15,2
01.10.1975 12:00:00;  9,35
01.11.1975 12:00:00; 0,570
01.12.1975 12:00:00; 0,330
01.01.1976 12:00:00; 0,220
03.02.1976 12:00:00; 0,210
31.03.1976 12:00:00; 0,790
20.04.1976 12:00:00;  2,75
08.05.1976 12:00:00;  9,56
23.06.1976 12:00:00;  21,0
18.07.1976 12:00:00;  28,6
21.08.1976 12:00:00;  12,7
14.09.1976 12:00:00;  18,7
03.10.1976 12:00:00;  9,23
04.11.1976 12:00:00; 0,900
09.12.1976 12:00:00; 0,370
18.01.1977 05:00:00; 0,350
04.02.1977 01:00:00; 0,277
28.03.1977 00:00:00; 0,692
30.04.1977 18:00:00;  4,00
20.05.1977 16:00:00;  19,7
14.06.1977 22:00:00;  22,6
31.07.1977 20:00:00;  69,1
01.08.1977 02:00:00;  50,0
09.09.1977 01:00:00;  14,5
09.10.1977 19:00:00;  3,75
02.11.1977 20:00:00;  1,29
26.12.1977 00:00:00; 0,334
01.01.1978 00:00:00; 0,314
23.02.1978 06:00:00; 0,176
31.03.1978 23:59:55; 0,393
30.04.1978 21:00:00;  1,74
22.05.1978 15:00:00;  12,7
11.06.1978 18:00:00;  21,1
05.07.1978 05:00:00;  31,2
08.08.1978 01:00:00;  68,4
08.09.1978 10:00:00;  13,9
03.10.1978 19:00:00;  9,07
01.11.1978 00:00:00;  1,01
09.12.1978 17:00:00; 0,292
01.01.1979 00:00:00; 0,205
12.02.1979 16:30:00; 0,150
17.03.1979 04:00:00; 0,230
19.04.1979 03:30:00; 0,589
31.05.1979 17:00:00;  20,6
12.06.1979 00:00:00;  27,9
10.07.1979 06:00:00;  40,0
03.08.1979 23:30:00;  28,1
22.09.1979 11:00:00;  23,8
15.10.1979 07:30:00;  14,7
28.11.1979 16:00:00;  1,02
01.12.1979 00:00:00; 0,771
01.01.1980 00:00:00; 0,393
01.02.1980 00:00:00; 0,190
30.03.1980 23:00:00; 0,302
18.04.1980 05:00:00; 0,569
26.05.1980 19:00:00;  4,95
14.06.1980 19:30:00;  25,7
09.07.1980 16:30:00;  39,0
08.08.1980 14:30:00;  32,6
23.09.1980 14:00:00;  12,3
17.10.1980 16:30:00;  36,5
01.11.1980 00:00:00;  1,47
01.12.1980 00:00:00; 0,441
12.01.1981 01:00:00; 0,348
01.02.1981 00:00:00; 0,149
31.03.1981 23:59:55;  1,51
15.04.1981 19:00:00;  4,58
27.05.1981 03:30:00;  26,2
29.06.1981 02:30:00;  38,6
18.07.1981 16:30:00;  68,4
16.08.1981 22:00:00;  25,5
13.09.1981 21:00:00;  16,7
11.10.1981 14:30:00;  4,15
02.11.1981 17:30:00;  2,10
01.12.1981 00:00:00; 0,428
01.01.1982 00:00:00; 0,294
28.02.1982 23:59:55; 0,155
31.03.1982 23:59:55; 0,295
07.04.1982 15:30:00; 0,809
31.05.1982 21:00:00;  14,3
26.06.1982 19:00:00;  35,6
31.07.1982 15:00:00;  44,8
13.08.1982 23:00:00;  45,7
07.09.1982 13:30:00;  23,3
01.10.1982 22:00:00;  5,35
13.11.1982 22:30:00;  1,47
01.12.1982 00:00:00; 0,486
01.01.1983 00:10:00; 0,314
01.02.1983 00:00:00; 0,251
21.03.1983 00:00:00; 0,314
27.04.1983 16:30:00;  3,34
23.05.1983 00:00:00;  17,8
06.06.1983 21:00:00;  24,8
05.07.1983 20:00:00;  27,8
02.08.1983 01:30:00;  35,1
25.09.1983 09:00:00;  19,2
11.10.1983 16:00:00;  6,05
01.11.1983 00:30:00; 0,860
07.12.1983 20:30:00; 0,351
01.01.1984 00:00:00; 0,220
01.02.1984 00:00:00; 0,129
30.03.1984 00:00:00; 0,149
27.04.1984 20:15:00; 0,985
21.05.1984 03:00:00;  10,5
22.06.1984 13:30:00;  16,3
12.07.1984 17:30:00;  33,4
06.08.1984 02:45:00;  23,8
06.09.1984 01:30:00;  28,2
02.10.1984 12:45:00;  7,88
01.11.1984 00:00:00; 0,794
11.12.1984 04:30:00; 0,406
03.01.1985 07:30:00; 0,249
02.02.1985 02:30:00; 0,258
08.03.1985 22:30:00; 0,177
26.04.1985 18:45:00;  1,02
29.05.1985 23:30:00;  14,0
07.06.1985 21:15:00;  26,4
27.07.1985 21:15:00;  33,8
06.08.1985 14:45:00;   118
04.09.1985 01:45:00;  18,6
05.10.1985 16:45:00;  5,59
10.11.1985 23:30:00; 0,999
01.12.1985 00:00:00; 0,310
07.01.1986 04:45:00; 0,239
10.02.1986 04:45:00; 0,204
31.03.1986 23:59:55; 0,274
25.04.1986 19:45:00;  3,21
21.05.1986 20:45:00;  28,9
24.06.1986 03:30:00;  42,4
06.07.1986 19:45:00;  47,4
18.08.1986 22:30:00;  39,4
17.09.1986 16:15:00;  10,7
06.10.1986 18:00:00;  5,70
01.11.1986 00:00:00; 0,622
01.12.1986 00:00:00; 0,264
12.01.1987 22:45:00; 0,233
12.02.1987 00:45:00; 0,183
28.03.1987 02:30:00; 0,262
30.04.1987 18:30:00;  4,35
01.05.1987 18:30:00;  6,51
15.06.1987 18:45:00;  35,3
19.07.1987 17:00:00;   109
25.08.1987 06:30:00;   169
26.09.1987 23:00:00;  29,6
12.10.1987 02:45:00;  27,4
16.11.1987 11:45:00;  1,12
24.12.1987 02:30:00; 0,617
01.01.1988 00:00:00; 0,366
01.02.1988 00:00:00; 0,210
01.03.1988 00:00:00; 0,185
23.04.1988 21:30:00;  2,81
18.05.1988 03:45:00;  16,4
30.06.1988 18:15:00;  21,4
27.07.1988 15:30:00;  47,5
20.08.1988 20:45:00;  45,8
06.09.1988 18:00:00;  37,1
12.10.1988 16:45:00;  9,93
01.11.1988 00:00:00; 0,690
01.12.1988 00:00:00; 0,523
01.01.1989 00:00:00; 0,420
19.02.1989 19:00:00; 0,445
30.03.1989 18:45:00;  2,42
05.04.1989 09:00:00;  2,30
30.05.1989 19:45:00;  11,8
23.06.1989 08:45:00;  19,5
24.07.1989 20:15:00;  43,4
17.08.1989 18:15:00;  26,2
16.09.1989 07:30:00;  11,0
01.10.1989 00:00:00;  1,51
01.11.1989 00:00:00;  1,26
19.12.1989 12:15:00;  1,88
01.01.1990 00:00:00; 0,153
26.02.1990 00:45:00; 0,354
22.03.1990 19:30:00;  2,00
02.04.1990 20:00:00;  2,17
22.05.1990 20:30:00;  14,0
27.06.1990 16:15:00;  28,8
18.07.1990 00:30:00;  68,3
06.08.1990 19:00:00;  21,3
24.09.1990 09:45:00;  12,8
02.10.1990 07:00:00;  8,91
01.11.1990 06:15:00;  1,30
01.12.1990 00:00:00; 0,569
01.01.1991 00:00:00; 0,325
26.02.1991 18:45:00; 0,362
24.03.1991 21:30:00;  1,35
16.04.1991 21:45:00;  2,07
23.05.1991 08:45:00;  5,60
17.06.1991 20:15:00;   147
